随机音乐,#genre#
装歌免费分享,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
接口软件永远免费,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&2
长期维护切勿贩卖,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&3
卡左右可换源,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&4
网络收集随时失效,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php
DJ舞曲[刷新就是新内容],http://xjj1.716888.xyz/fenlei/djxjj/dj1.php
网络热曲[刷新就是新内容],https://188sp.711888.xyz/188/video.php
4K视频[刷新就是新内容],http://xjj1.716888.xyz/fenlei/4k/4k.php



央视频道,#genre#

CCTV1综合,https://by1.430520.xyz/vip/nxog.php?c=CCTV1综合&key=1a8
CCTV2财经,https://by1.430520.xyz/vip/nxog.php?c=CCTV2财经&key=1a8
CCTV3综艺,https://by1.430520.xyz/vip/nxog.php?c=CCTV3综艺&key=1a8
CCTV4中文国际,https://by1.430520.xyz/vip/nxog.php?c=CCTV4中文国际&key=1a8
CCTV5体育,https://by1.430520.xyz/vip/nxog.php?c=CCTV5体育&key=1a8
CCTV5+,https://by1.430520.xyz/vip/nxog.php?c=CCTV5+&key=1a8
CCTV6电影,https://by1.430520.xyz/vip/nxog.php?c=CCTV6电影&key=1a8
CCTV7国防军事,https://by1.430520.xyz/vip/nxog.php?c=CCTV7国防军事&key=1a8
CCTV8电视剧,https://by1.430520.xyz/vip/nxog.php?c=CCTV8电视剧&key=1a8
CCTV9纪录,https://by1.430520.xyz/vip/nxog.php?c=CCTV9纪录&key=1a8
CCTV10科教,https://by1.430520.xyz/vip/nxog.php?c=CCTV10科教&key=1a8
CCTV11戏曲,https://by1.430520.xyz/vip/nxog.php?c=CCTV11戏曲&key=1a8
CCTV12社会与法,https://by1.430520.xyz/vip/nxog.php?c=CCTV12社会与法&key=1a8
CCTV13新闻,https://by1.430520.xyz/vip/nxog.php?c=CCTV13新闻&key=1a8
CCTV14少儿,https://by1.430520.xyz/vip/nxog.php?c=CCTV14少儿&key=1a8
CCTV15音乐,https://by1.430520.xyz/vip/nxog.php?c=CCTV15音乐&key=1a8
CCTV17农业农村,https://by1.430520.xyz/vip/nxog.php?c=CCTV17农业农村&key=1a8
CCTV4欧洲,https://by1.430520.xyz/vip/nxog.php?c=CCTV4欧洲&key=1a8
CCTV4美洲,https://by1.430520.xyz/vip/nxog.php?c=CCTV4美洲&key=1a8




CCTV1综合,https://by2.nxog.fun/vip/nxog.php?c=CCTV1综合&key=1a8
CCTV2财经,https://by2.nxog.fun/vip/nxog.php?c=CCTV2财经&key=1a8
CCTV3综艺,https://by2.nxog.fun/vip/nxog.php?c=CCTV3综艺&key=1a8
CCTV4中文国际,https://by2.nxog.fun/vip/nxog.php?c=CCTV4中文国际&key=1a8
CCTV5体育,https://by2.nxog.fun/vip/nxog.php?c=CCTV5体育&key=1a8
CCTV5+,https://by2.nxog.fun/vip/nxog.php?c=CCTV5+&key=1a8
CCTV6电影,https://by2.nxog.fun/vip/nxog.php?c=CCTV6电影&key=1a8
CCTV7国防军事,https://by2.nxog.fun/vip/nxog.php?c=CCTV7国防军事&key=1a8
CCTV8电视剧,https://by2.nxog.fun/vip/nxog.php?c=CCTV8电视剧&key=1a8
CCTV9纪录,https://by2.nxog.fun/vip/nxog.php?c=CCTV9纪录&key=1a8
CCTV10科教,https://by2.nxog.fun/vip/nxog.php?c=CCTV10科教&key=1a8
CCTV11戏曲,https://by2.nxog.fun/vip/nxog.php?c=CCTV11戏曲&key=1a8
CCTV12社会与法,https://by2.nxog.fun/vip/nxog.php?c=CCTV12社会与法&key=1a8
CCTV13新闻,https://by2.nxog.fun/vip/nxog.php?c=CCTV13新闻&key=1a8
CCTV14少儿,https://by2.nxog.fun/vip/nxog.php?c=CCTV14少儿&key=1a8
CCTV15音乐,https://by2.nxog.fun/vip/nxog.php?c=CCTV15音乐&key=1a8
CCTV17农业农村,https://by2.nxog.fun/vip/nxog.php?c=CCTV17农业农村&key=1a8
CCTV4欧洲,https://by2.nxog.fun/vip/nxog.php?c=CCTV4欧洲&key=1a8
CCTV4美洲,https://by2.nxog.fun/vip/nxog.php?c=CCTV4美洲&key=1a8



卫视频道,#genre#
北京卫视,https://by1.430520.xyz/vip/nxog.php?c=北京卫视&key=1a8
天津卫视,https://by1.430520.xyz/vip/nxog.php?c=天津卫视&key=1a8
河北卫视,https://by1.430520.xyz/vip/nxog.php?c=河北卫视&key=1a8
山西卫视,https://by1.430520.xyz/vip/nxog.php?c=山西卫视&key=1a8
辽宁卫视,https://by1.430520.xyz/vip/nxog.php?c=辽宁卫视&key=1a8
内蒙古卫视,https://by1.430520.xyz/vip/nxog.php?c=内蒙古卫视&key=1a8
吉林卫视,https://by1.430520.xyz/vip/nxog.php?c=吉林卫视&key=1a8
黑龙江卫视,https://by1.430520.xyz/vip/nxog.php?c=黑龙江卫视&key=1a8
东方卫视,https://by1.430520.xyz/vip/nxog.php?c=东方卫视&key=1a8
江苏卫视,https://by1.430520.xyz/vip/nxog.php?c=江苏卫视&key=1a8
浙江卫视,https://by1.430520.xyz/vip/nxog.php?c=浙江卫视&key=1a8
安徽卫视,https://by1.430520.xyz/vip/nxog.php?c=安徽卫视&key=1a8
东南卫视,https://by1.430520.xyz/vip/nxog.php?c=东南卫视&key=1a8
江西卫视,https://by1.430520.xyz/vip/nxog.php?c=江西卫视&key=1a8
山东卫视,https://by1.430520.xyz/vip/nxog.php?c=山东卫视&key=1a8
河南卫视,https://by1.430520.xyz/vip/nxog.php?c=河南卫视&key=1a8
湖南卫视,https://by1.430520.xyz/vip/nxog.php?c=湖南卫视&key=1a8
湖北卫视,https://by1.430520.xyz/vip/nxog.php?c=湖北卫视&key=1a8
广东卫视,https://by1.430520.xyz/vip/nxog.php?c=广东卫视&key=1a8
广西卫视,https://by1.430520.xyz/vip/nxog.php?c=广西卫视&key=1a8
海南卫视,https://by1.430520.xyz/vip/nxog.php?c=海南卫视&key=1a8
四川卫视,https://by1.430520.xyz/vip/nxog.php?c=四川卫视&key=1a8
贵州卫视,https://by1.430520.xyz/vip/nxog.php?c=贵州卫视&key=1a8
云南卫视,https://by1.430520.xyz/vip/nxog.php?c=云南卫视&key=1a8
西藏卫视,https://by1.430520.xyz/vip/nxog.php?c=西藏卫视&key=1a8
陕西卫视,https://by1.430520.xyz/vip/nxog.php?c=陕西卫视&key=1a8
甘肃卫视,https://by1.430520.xyz/vip/nxog.php?c=甘肃卫视&key=1a8
青海卫视,https://by1.430520.xyz/vip/nxog.php?c=青海卫视&key=1a8
宁夏卫视,https://by1.430520.xyz/vip/nxog.php?c=宁夏卫视&key=1a8
新疆卫视,https://by1.430520.xyz/vip/nxog.php?c=新疆卫视&key=1a8
兵团卫视,https://by1.430520.xyz/vip/nxog.php?c=兵团卫视&key=1a8
海峡卫视,https://by1.430520.xyz/vip/nxog.php?c=海峡卫视&key=1a8

北京卫视,https://by2.nxog.fun/vip/nxog.php?c=北京卫视&key=1a8
天津卫视,https://by2.nxog.fun/vip/nxog.php?c=天津卫视&key=1a8
河北卫视,https://by2.nxog.fun/vip/nxog.php?c=河北卫视&key=1a8
山西卫视,https://by2.nxog.fun/vip/nxog.php?c=山西卫视&key=1a8
辽宁卫视,https://by2.nxog.fun/vip/nxog.php?c=辽宁卫视&key=1a8
内蒙古卫视,https://by2.nxog.fun/vip/nxog.php?c=内蒙古卫视&key=1a8
吉林卫视,https://by2.nxog.fun/vip/nxog.php?c=吉林卫视&key=1a8
黑龙江卫视,https://by2.nxog.fun/vip/nxog.php?c=黑龙江卫视&key=1a8
东方卫视,https://by2.nxog.fun/vip/nxog.php?c=东方卫视&key=1a8
江苏卫视,https://by2.nxog.fun/vip/nxog.php?c=江苏卫视&key=1a8
浙江卫视,https://by2.nxog.fun/vip/nxog.php?c=浙江卫视&key=1a8
安徽卫视,https://by2.nxog.fun/vip/nxog.php?c=安徽卫视&key=1a8
东南卫视,https://by2.nxog.fun/vip/nxog.php?c=东南卫视&key=1a8
江西卫视,https://by2.nxog.fun/vip/nxog.php?c=江西卫视&key=1a8
山东卫视,https://by2.nxog.fun/vip/nxog.php?c=山东卫视&key=1a8
河南卫视,https://by2.nxog.fun/vip/nxog.php?c=河南卫视&key=1a8
湖南卫视,https://by2.nxog.fun/vip/nxog.php?c=湖南卫视&key=1a8
