香港,#genre#
凤凰资讯,http://156.238.251.122/fh.php?id=fhzx
凤凰中文,http://156.238.251.122/fh.php?id=fhzw
凤凰香港,http://156.238.251.122/fh.php?id=fhhk

凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27

凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
澳视澳门,http://r.jdshipin.com/n2YZI
凤凰香港,https://cdn9.163189.xyz/smt3.1.1.php?id=hkphoenix_twn
澳视澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=34
翡翠台,https://cdn6.163189.xyz/163189/fct4k

无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
凤凰香港,http://rihou.cc:555/tv/hktv%2Fhk0813
凤凰资讯,http://rihou.cc:555/tv/hktv%2Fhk0815
凤凰中文,http://rihou.cc:555/tv/hktv%2Fhk0814
中天新闻,https://app.junnian.xyz/pitv.php?user=147258&pass=147258&type=mp4&id=ctinews
中天新闻,http://67.220.67.246:2347/livehttpplay?channel_id=20163
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
