央视频道,#genre#
CCTV1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-1-HD-265-5M
CCTV1,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-1-AVS-4K264
CCTV2,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-2-HD-265-8M
CCTV3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-3-HD-265-8M
CCTV3,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-3-AVS-4K264
CCTV4,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-4-HD-265-8M
CCTV4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-4K-HD
CCTV5,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5-HD-265-5M
CCTV5,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5-AVS-4K264
CCTV5+,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-5PLUS-HD-265-5M
CCTV6,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-6-HD-265-8M
CCTV6,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-6-AVS-4K264
CCTV7,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-7-HQ
CCTV8,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-8-HD-265-5M
CCTV8,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-8-AVS-4K264
CCTV9,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-9
CCTV10,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-10-HQ
CCTV11,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-11-HQ
CCTV12,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-cctv12
CCTV13,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-13-HQ
CCTV14,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-cctv14
CCTV15,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-15
CCTV16,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-CQ
CCTV16(4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_CCTV-16-4K
